case_id,coil_category,header_type,feed_type,special_feature,pdf_file,json_file,pdf_label,label_family,pdf_value_in,pdf_sources,json_path,json_value,difference_in,status,confidence,mapping_basis,notes
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,HD2,HD,3.5,pdf_callout,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,HD2,HD,3.5,,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,I,I,3,pdf_dimension_table,Geometry.I,0,3,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,I,I,3,,Geometry.I,0,3,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,pdf_dimension_table,Geometry.O,2.187,0.187,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,,Geometry.O,2.187,0.187,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,pdf_callout,Geometry.O2,0,2,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,,Geometry.O2,0,2,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,29.25,pdf_callout;pdf_dimension_table,Geometry.CL + Geometry.RB2,29.25,0,DERIVED_CANDIDATE,MEDIUM,observed_formula,Observed strongly on DX cases.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,29.25,pdf_callout;pdf_dimension_table,Geometry.OAL,0,29.25,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,OAL,OAL,29.25,,Geometry.OAL,0,29.25,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R,R,0.88,pdf_dimension_table,Geometry.R,1.085,0.205,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R,R,0.88,,Geometry.R,1.085,0.205,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R2,R,0.88,pdf_callout,Geometry.R2,0,0.88,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,R2,R,0.88,,Geometry.R2,0,0.88,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,S,S,3.63,pdf_dimension_table,Geometry.S,1.085,2.545,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0009,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,S,S,3.63,,Geometry.S,1.085,2.545,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
